Start Time (Hour:Min:Secs)	End Time (Hour:Min:Secs)	Speaker ID	Transcribed Text
00:00:00	00:00:05	1	[laughter] i just spoiled my soup over [laughter] 
00:00:05	00:00:13	2	<unk> and i just wanted that's what you want to be recorded um for for posterity i know the smartest thing i've ever set in my life 
00:00:13	00:00:15	1	yeah but anyway 
00:00:15	00:00:19	2	so i guess we won't talk with will have far since you of a closet five 
00:00:19	00:00:24	1	well it's not a class it's a um extra credit costing whoa i get to go 
00:00:37	00:00:40	1	i'll tell you about it when i've done it and i know what it is 
00:00:40	00:00:57	2	and did experiment taking extra credit that's cool yeah that's what we need a school well i just had to go drive robbie too um downtown because they're going to fly and you know i'm totally sick right and the baby is in the car with us like a three week old baby and i'm going okay do not 
00:00:57	00:00:59	1	reading the car 
00:00:59	00:01:01	2	i mean like they needed a ride down there 
00:01:01	00:01:04	1	oh i felt like i should give it to them but since i was so sick 
00:01:04	00:01:05	2	yeah 
00:01:05	00:01:08	1	oh well no big deal you know 
00:01:08	00:01:16	2	it hurts the name of the baby making catherine cool yeah set their spouse meghan with an h which is kind of nasty but that's okay 
00:01:16	00:01:17	1	it's bizarre [laughter] 
00:01:17	00:01:26	2	no well because they want to be totally irish even though like oh oh <unk> it's not even irish so whatever they've kind of weird so 
00:01:26	00:01:32	1	[noise] yeah but um yeah i think of making i think of the only other making that i know and that's not good 
00:01:32	00:01:33	2	maybe at school 
00:01:34	00:01:39	2	<unk> yeah <unk> and she sold her name was 
00:01:39	00:01:40	1	mhm 
00:01:40	00:01:42	2	i don't know yeah she did 
00:01:42	00:01:43	1	[laughter] the survey 
00:01:43	00:01:50	2	[noise] but anyway um oh god yeah okay so i'm taking care of these kids right meg it or not mean caffeine chris 
00:01:50	00:01:52	1	and i told you that right mhm 
00:01:52	00:02:02	2	taking care of them again yesterday crispy oaks and so he he stayed home for afternoon and school and i had to call and excuse him and i called and i called home that i was like an avid 
00:02:02	00:02:05	1	please and they're like in those <unk> <unk> it was like 
00:02:05	00:02:14	2	this is attendance i was like okay well i need to clear student athletes and she's like that's great and i was like yeah chris marriages sick right now he won't be home 
00:02:14	00:02:16	1	oh a lot and she's like 
00:02:16	00:02:27	2	she's like are you is paradise like no one is guardian [laughter] i like happy is six today we had a migraine and she's obscene her parents are going to kill me when they get home there'll be like look what 
00:02:27	00:02:30	1	[laughter] 
00:02:30	00:02:38	2	but i was but i feel so bad it was supposed to go pick up a christian for lunch at lunch time and his wife started eleven forty five i woke up at twelve o five and who's like 
00:02:38	00:02:40	1	like 
00:02:40	00:02:47	2	i was waiting like one of my blue and white shirts you know and i threw on my block skirt and i've raised over there it was like twelve ten by the time i got there 
00:02:47	00:02:49	1	oh god i felt so bad 
00:02:49	00:02:51	2	[noise] i mean i was going to just be like 
00:02:51	00:02:55	1	you know i feel so bad you know mhm 
00:02:55	00:03:13	2	it's like oh god i said i quilt for the first time in my life last night uh steak [laughter] yeah i had like horrible nightmares i dreamt that i was my mother and my <unk> my cousin at the same time if i but i was a man at the same time too [laughter] weird [laughter] it's not funny 
00:03:19	00:03:24	1	<unk> people diagnosed me as being a freak [laughter] but anyway 
00:03:24	00:03:32	2	oh oh it's hot so i have a week until i go back to school i hate you [laughter] hot [laughter] 
00:03:47	00:03:56	1	i have an everyday ooh and um tuesday thursday is eight to twelve thirty and monday wednesday fridays tend to one 
00:03:56	00:04:07	2	mm it's not bad yeah and then i also might do 'course i haven't decided but considering the way my voice is right now i can barely hear so see i don't think i'll be able to audition for the choir 
00:04:07	00:04:09	1	when you see audition 
00:04:09	00:04:16	2	next week oh no [laughter] so i'm like ah ah where you can try and see yeah 
00:04:16	00:04:21	1	claire claire sadly voiced woman and she she was sick when she did her <unk> 
00:04:21	00:04:23	2	um hurt auditions for her university 
00:04:42	00:04:44	1	yeah 
00:04:44	00:04:46	2	get you did you get down into the right math 
00:04:46	00:04:51	1	yeah and i picked up a class and then other things 
00:04:51	00:04:53	2	are you what 
00:04:53	00:04:56	1	um just 'cause i was losing all my friends 
00:04:56	00:04:59	2	and so you don't even have to do the homework too 
00:04:59	00:05:02	1	well yeah but i am 'cause i'm afraid she'll get me out of i don't 
00:05:02	00:05:08	2	oh [laughter] so if you decide you want to like take it for credit can you take the next tire course next time 
00:05:08	00:05:09	1	so 
