Start Time (Hour:Min:Secs)	End Time (Hour:Min:Secs)	Speaker ID	Transcribed Text
00:00:00	00:00:07	2	are you still there yeah did you hear the deal yeah oh okay yeah yeah i know 
00:00:07	00:00:08	1	that can be politics or nothing 
00:00:08	00:00:13	2	i finally <unk> ah yeah i couldn't get through because they hadn't given me a p._i._n. number 
00:00:13	00:00:17	1	yeah that's what you said last week so that when they do this week they get it er well i 
00:00:17	00:00:23	2	cold and then i got this recorded thing and we finally found out that i should have 
00:00:23	00:00:25	1	been registered 
00:00:25	00:00:30	2	given a p._i._n. number but anyway the girl registered mean give me a p._i._n. number so i finally got through 
00:00:30	00:00:33	1	i thought about comedy friday but i didn't get a chance to 
00:00:33	00:00:34	2	yeah 
00:00:34	00:00:40	1	i took friday off but my car had a slow leak so i had to go up higher from <unk> 
00:00:40	00:00:48	2	<unk> yeah all right near this weekend rudy yeah so he's done 
00:00:48	00:00:51	1	yeah 
00:00:51	00:00:54	2	[laughter] yeah really 
00:00:54	00:00:58	1	a year lane 
00:00:58	00:01:04	2	<unk> have you ever watch that uh led to another fall yeah 
00:01:05	00:01:13	2	yeah pretty good 'til the end i didn't begin wrestling that grizzly at the end of a kind of us but up until that point i was an excellent movie 
00:01:13	00:01:16	1	oh that's wonderful movie yeah that <unk> pretty 
00:01:16	00:01:23	2	i mean 'cause he was a great movie and then they cop out on me and within roughing it stupid grizzly i mean i was kinda disappointed with the ending 
00:01:23	00:01:27	1	yeah yeah that was that was i didn't like that 
00:01:27	00:01:33	2	yeah but <unk> but up until the end i mean it was great that was really good movie 
00:01:36	00:01:45	2	i got two people coming over i gotta smoke turkey loving pounds so i'm cooking a ham pies 
00:01:45	00:01:46	1	did you guys 
00:01:46	00:01:52	2	oregon <unk> rave mom's gonna put on the dinner and then we're going to go over there 
00:01:52	00:01:54	1	oh nice is that we're grandma 
00:01:54	00:01:55	2	yeah 
00:01:55	00:01:56	1	that's so 
00:01:56	00:02:09	2	yeah we're gonna go and aim in hell any wasn't going to go but she changed her mind and carrying bruce or come and so that would be nice yeah yeah <unk> he's going to go 
00:02:09	00:02:11	1	oh well <unk> 
