Start Time (Hour:Min:Secs)	End Time (Hour:Min:Secs)	Speaker ID	Transcribed Text
00:00:00	00:00:01	2	hello grace 
00:00:01	00:00:07	1	yes i'd uh okay yes sure you'll go i'm not sure i got the message 
00:00:07	00:00:15	2	very good so we have a half hour to talk yeah isn't that wonderful it's great that is what can we say it'll be all 
00:00:15	00:00:17	1	the world listen grace yeah 
00:00:17	00:00:23	2	uh i think israel that is well pretty good pretty good i i'm glad to see 
00:00:23	00:00:32	1	reason i didn't do the call you and uh in uh boston boston is because i figured i wanted to talk to you a long time see it and there's opportunity 
00:00:41	00:00:43	1	oh really 
00:00:51	00:00:53	1	uh i'll tell you more about it 
00:00:53	00:00:59	2	so she got it and so of course it was wonderful opportunity for me and she also used to 
00:00:59	00:01:02	1	spoke to some people in fact this morning 
00:01:02	00:01:05	2	yeah well anyway 
00:01:05	00:01:07	1	was it a successful stay here for her 
00:01:07	00:01:17	2	well this is what i wanted to tell you what she was aiming to is to get to the uh israeli teachers organizations so she could speak more about her 
00:01:17	00:01:20	1	book and then she's got another one that she's writing now 
00:01:20	00:01:30	2	and she said she wrote them one and it's been really a success and she she spoke to them and the ministry of education has approved so it will be available 
00:01:30	00:01:33	1	<unk> what is the name of the title of the book 
00:01:33	00:01:39	2	it's a four o. f. folklore it's world for folklore i'll send you a pamphlet you'll see 
00:01:39	00:01:46	1	i have to buy that book she has she has to uh autograph from from me and i have to have it well he'll be fascinating 
00:01:46	00:01:52	2	well she's ordered through uh what's his name the isn't eric <unk> somebody says yes 
00:01:52	00:01:54	1	it's yeah yeah so 
00:01:54	00:02:10	2	we'll be available they've had a hard time somehow getting it across because it comes to cypress you know they're all kinds of yes right off that it was wonderful really well <unk> she's done such wonderful work either you must be very proud of her 
00:02:10	00:02:14	1	me tell you the book has been taken to china 
00:02:14	00:02:18	2	but you know there's a problem because they do a lotta copying you don't want to spend the money 
00:02:18	00:02:19	1	oh i know 
00:02:19	00:02:33	2	because in china and it's in japan and it's in germany and uh what they are <unk> well that is what her publisher and editor and also i try to do is get it through the los angeles school district which is a 
00:02:39	00:02:47	2	purchases of book that she teaches at columbia university but she handles or purchases of the book uh new york city <unk> city schools 
00:02:47	00:02:52	1	so she's working on it so and you see a need there's been running around 
00:02:52	00:03:06	2	many conventions in fact in october she is going to another one convention in buffalo she's been to savannah she's been to ah south carolina and she's been at too i can't begin to name all the 
00:03:18	00:03:24	1	this came from a <unk> that she had written for her masters here you know she has a second masters in english 
00:03:24	00:03:29	2	oh it became a book that's so wonderful 
00:03:29	00:03:30	1	and the boys hiding 
