Start Time (Hour:Min:Secs)	End Time (Hour:Min:Secs)	Speaker ID	Transcribed Text
00:00:00	00:00:07	2	[laughter] did you hear that yeah oh [laughter] okay [laughter] a lot and honey it's free [laughter] 
00:00:07	00:00:13	1	we spoke a lot about it today reminisced thing about the time that seem nine i already had the contest for fast 
00:00:13	00:00:22	2	right right i know well obviously being now because he has a headache and even to just eat you're crazy but 
00:00:22	00:00:26	1	you know i also told my girls today so they have to fast 
00:00:26	00:00:33	2	that i don't remember that we ever expect as much to arm [laughter] said to me all day long 
00:00:33	00:00:35	1	really 
00:00:35	00:00:43	2	we that their stomach hurts their head hurts ignorant of fame stairs there's see any time that i was around them or near them they were oh and that 
00:00:43	00:00:45	1	is it hot there 
00:00:45	00:00:49	2	actually today it wasn't too hot i um 
00:00:49	00:00:54	1	very nice but usually it's hot and it's still the evening and then in the evening software 
00:00:54	00:00:58	2	i'm sitting here near the window and i had cool air no 
00:00:58	00:01:00	1	fan no air conditioning 
00:01:00	00:01:08	2	oh well that's good 'cause here it's been really really hot but today it was pouring so i haven't even gone outside yet 
00:01:08	00:01:11	1	yeah i was 
00:01:11	00:01:25	2	most of the day but then i had to go to the kitchen to do some stuff and then i came home and wasn't out the whole day and then in the evening we all hung out on the grass meat you rise you know mhm that out is uh 
00:01:25	00:01:26	1	good 
00:01:26	00:01:28	2	yeah and then as time goes by and we're finished 
00:01:28	00:01:31	1	right you all waiting for <unk> to come home 
00:01:31	00:01:34	2	he's coming home soon august twenty eight twenty nine 
00:01:34	00:01:35	1	wow 
00:01:35	00:01:36	2	mhm 
00:01:36	00:01:38	1	so is is apartment ready 
00:01:38	00:01:47	2	oh because he's he's silly i he could you could have done it already they decided that they'd rather come here and take care of it 
00:01:47	00:01:48	1	okay 
00:01:48	00:01:52	2	they're going to live in a different apartment and still they finish it 
00:01:59	00:02:16	2	maybe she wants to see what other people have done you know she only knows american style she doesn't know israeli styles now yeah i'm sure she's bringing everything with her anyway i i would assume but their apartment that they're putting in that was the one family the crazy people that really did 
00:02:16	00:02:18	1	to the living room normal 
00:02:18	00:02:27	2	and they didn't put in the sliding door they closed it made a window so that lady told you to a while ago that they want the sliding door to the port so badly 
00:02:27	00:02:30	1	uh-huh um and then 
00:02:30	00:02:40	2	they did like from the parent my room to the bathroom they did a door instead of having like we have the my son was there oh no 
00:02:40	00:02:46	1	no so that's nice in a way 'cause you could walk through instead of walking around the whole house to the bathroom 
00:02:46	00:02:48	2	and i get it though 
00:02:48	00:02:51	1	right and then the kitchen though she had to laugh 
00:02:51	00:02:59	2	like the hallway she wanted to leave the hallway 'cause there was an orange but it really made everything smells her kitchen was a maid figures i think they sat down 
00:02:59	00:03:00	1	but other than that 
00:03:00	00:03:05	2	anything else they haven't said yet but how about your house 
00:03:05	00:03:11	1	well we're just about finished we have a few odds and ends to get done but um it's very nice 
00:03:11	00:03:14	2	i can't believe also that you live you live 
00:03:14	00:03:16	1	no in the house well <unk> 
00:03:16	00:03:36	2	beginning was really a lot of fun every day i'd come home and see what they did and it was exciting and and right before we left for pays uh they they broke through so most when we came home than we didn't have a bedroom and the kids were always in their bedroom that it was just us so we just slept downstairs for a few months 
00:03:36	00:03:36	1	mhm 
00:03:40	00:03:41	1	did famous 
00:03:41	00:03:56	2	a couple of things we're still waiting on but basically it's finished everybody's in their room and more carpet painted and yeah so it's you're happy yeah very nice you know there's always little bits and pieces of aggravation but it 
00:03:56	00:03:58	1	nothing can be done 
00:03:58	00:04:05	2	right but it's still very nice very nice so i'm sure mommy told you about we're planning to come to israel 
00:04:05	00:04:07	1	well um in december 
00:04:07	00:04:13	2	in december the beginning not not like christmas time 
00:04:16	00:04:18	2	no i think it's in tel aviv 
00:04:27	00:04:32	1	yeah and i call the retaliation yeah let her know alerts the media [laughter] 
00:04:32	00:04:37	2	so anyway his confidence is i 
00:04:37	00:04:38	1	think 
00:04:38	00:04:47	2	the the week like the twelfth or something i loved that we're so we're probably gonna come anywhere from the seventies to the tense 
00:04:47	00:04:48	1	mhm 
00:04:48	00:04:52	2	[noise] and we'll stay a couple of weeks or i'll stay a couple of weeks i don't know how long 
00:04:52	00:04:54	1	goodness and sit around the time 
00:04:54	00:05:03	2	<unk> is like the second week we would be there so that's that's like on one hand is very nice but on the other hand it's a <unk> years 
00:05:20	00:05:25	1	well it's great it whenever you want to come you can kind of well i just have to say that um i didn't really 
00:05:25	00:05:30	2	tell mommy not because i'm i'm hiding anything i just didn't know exactly how to explain it i have 
00:05:30	00:05:31	1	up in my life 
00:05:38	00:05:46	2	he's giving me a happy size so <unk> it's like he's training me now to the why did it take him so 
00:05:46	00:05:47	1	to give it to you 
00:05:47	00:06:00	2	no for years they asked me a couple of times like they asked me before dog and they asked me once even before you always see a few times and i kept saying no i can't handle it i can't do it really 
00:06:00	00:06:02	1	well also um 
00:06:06	00:06:07	1	why 
00:06:07	00:06:14	2	without him being for it and we saw it a lot impounded i'll tell you why it's a job that's 
00:06:14	00:06:20	1	they do have for a fact of the fact i have a lot of responsibility i told them i used to you want to give me this a thousands and thousands of 
00:06:20	00:06:21	2	<unk> you know 
00:06:29	00:06:30	1	well here with us no matter how 
00:06:30	00:06:32	2	just try or how much wanted food everywhere 
00:06:32	00:06:35	1	everybody complains right 
00:06:35	00:06:42	2	like he says it's a job that no matter what you do nothing is is going to be right it's also hard it's a twenty four hours 
00:06:42	00:06:43	1	seeing on your head 
00:06:43	00:06:48	2	like even though today was just above i waited for about an hour because people were preparing 
00:06:48	00:06:51	1	takes had noted leaving tomorrow 
00:06:59	00:07:01	1	right 
00:07:01	00:07:05	2	okay the bread came today oh sim came today so 
00:07:05	00:07:09	1	think in israel that people would not be working but i guess everybody else is 
00:07:09	00:07:21	2	else says but well <unk> yeah i'm unfortunately not everybody is religious but i think that theoretically you could take it as a choice to say either as a in instead of getting it 
00:07:21	00:07:23	1	oh fifty one is uh 
